ID,Address,AssessedValue
2-0-361,32 BEACON ST,980500
8-0-185,33 BEACON ST,1257100
2-0-362,34 BEACON ST,1083200
8-0-184,35 BEACON ST,1008400
2-0-363,36 BEACON ST,969200
2-0-364,38 BEACON ST,1037900
8-0-183,39 BEACON ST,1075500
2-0-161,4 BEACON ST,679800
2-0-365,40 BEACON ST,1122600
2-0-366,42 BEACON ST,1065900
7-0-399,5 BEACON ST,848400
2-0-162,6 BEACON ST,807800
7-0-398,7 BEACON ST,757800
2-0-163,8 BEACON ST,645700
7-0-397,9 BEACON ST,961600
11-0-63,10 BEAR HILL RD,817900
11-0-64,12 BEAR HILL RD,775500
11-0-65,14 BEAR HILL RD,1066100
11-0-83,15 BEAR HILL RD,840700
11-0-66,16 BEAR HILL RD,665500
11-0-82,17 BEAR HILL RD,763900
11-0-67,18 BEAR HILL RD,765100
11-0-81,19 BEAR HILL RD,860500
11-0-69,22 BEAR HILL RD,660700
11-0-80,23 BEAR HILL RD,754800
11-0-70,24 BEAR HILL RD,725400
11-0-71,26 BEAR HILL RD,631600
11-0-79,27 BEAR HILL RD,1009900
11-0-72,28 BEAR HILL RD,736000
11-0-78,29 BEAR HILL RD,1208800
11-0-73,30 BEAR HILL RD,777500
11-0-77,31 BEAR HILL RD,712700
11-0-74,32 BEAR HILL RD,617600
11-0-76,33 BEAR HILL RD,756300
11-0-75,34 BEAR HILL RD,705000
11-0-96,7 BEAR HILL RD,788600
11-0-95,9 BEAR HILL RD,974800
5-0-46,16 BELLEVUE RD,660900
5-0-45,18 BELLEVUE RD,791200
5-0-44,20 BELLEVUE RD,774800
5-0-43,24 BELLEVUE RD,661400
5-0-7,25 BELLEVUE RD,978200
5-0-41,30 BELLEVUE RD,876800
5-0-15,37 BELLEVUE RD,1306600
5-0-37,38 BELLEVUE RD,975600
5-0-18,39 BELLEVUE RD,1023800
5-0-38,40 BELLEVUE RD,1133900
5-0-27A,44 BELLEVUE RD,898300
5-0-26,46 BELLEVUE RD,872700
6-0-3,48 BELLEVUE RD,1126000
8-0-176B,10 BENJAMIN TRL,853500
8-0-176C,12 BENJAMIN TRL,933800
8-0-182,4 BENJAMIN TRL,847000
8-0-181,6 BENJAMIN TRL,915800
8-0-176A,8 BENJAMIN TRL,888300
18-0-320,11 BENTON ST,849900
18-0-325,6 BENTON ST,751700
21-0-203,10 BERKLEY ST,849900
21-0-199,3 BERKLEY ST,638700
21-0-200,4 BERKLEY ST,642400
21-0-198,5 BERKLEY ST,732600
21-0-201,6 BERKLEY ST,858000
21-0-197,7 BERKLEY ST,838200
21-0-202,8 BERKLEY ST,675900
19-0-118,11 BIRCH ST,1392900
19-0-127,2 BIRCH ST,701100
19-0-129,4 BIRCH ST,1177100
19-0-130,5 BIRCH ST,684700
19-0-131,7 BIRCH ST,1252900
19-0-120,9 BIRCH ST,1296000
7-0-354E,2 BLUEBERRY LN,1136700
7-0-354A,3 BLUEBERRY LN,1306900
7-0-354D,4 BLUEBERRY LN,1203500
7-0-354B,5 BLUEBERRY LN,1184300
7-0-354C,6 BLUEBERRY LN,925700
16-0-129,10 BONAD RD,749000
16-0-159,11 BONAD RD,620800
16-0-130,12 BONAD RD,668700
16-0-131,14 BONAD RD,674400
16-0-158,15 BONAD RD,847000
16-0-132,16 BONAD RD,768700
16-0-157,17 BONAD RD,821700
16-0-133,18 BONAD RD,735100
16-0-156,19 BONAD RD,723300
16-0-134,20 BONAD RD,747200
16-0-155,21 BONAD RD,653900
16-0-135,22 BONAD RD,744700
16-0-154,23 BONAD RD,687400
16-0-136,24 BONAD RD,755800
16-0-151,29 BONAD RD,866800
16-0-137,30 BONAD RD,873300
16-0-150,31 BONAD RD,722300
16-0-149,33 BONAD RD,717000
16-0-138,34 BONAD RD,790100
16-0-148,35 BONAD RD,583300
16-0-139,36 BONAD RD,610800
16-0-147,37 BONAD RD,768800
16-0-140,38 BONAD RD,704000
16-0-146,39 BONAD RD,724100
16-0-126,4 BONAD RD,632700
16-0-141,40 BONAD RD,714000
16-0-145,41 BONAD RD,901100
16-0-142,42 BONAD RD,756400
16-0-143,45 BONAD RD,1157000
16-0-162,5 BONAD RD,656000
16-0-127,6 BONAD RD,753500
16-0-161,7 BONAD RD,763400
16-0-128,8 BONAD RD,838400
16-0-160,9 BONAD RD,639200
7-0-291,10 BOW STREET CT,630100
7-0-292,12 BOW STREET CT,683400
7-0-330,16 BOW STREET CT,554200
7-0-329,17 BOW STREET CT,774400
7-0-331,18 BOW STREET CT,652900
7-0-332,20 BOW STREET CT,646800
7-0-333,22 BOW STREET CT,642100
7-0-326,23 BOW STREET CT,760800
7-0-334,24 BOW STREET CT,666700
7-0-325,25 BOW STREET CT,614400
7-0-335,26 BOW STREET CT,656300
7-0-311,27 BOW STREET CT,742000
7-0-336,28 BOW STREET CT,755900
7-0-310,29 BOW STREET CT,712700
7-0-356,3 BOW STREET CT,784600
7-0-309,31 BOW STREET CT,635500
1-0-288,33 BOW STREET CT,636500
1-0-287,35 BOW STREET CT,676500
7-0-289,4 BOW STREET CT,658800
7-0-355,5 BOW STREET CT,724400
7-0-290,6 BOW STREET CT,766200
7-0-351,7 BOW STREET CT,786100
7-0-377,1 BOW ST,817500
12-0-190,10 BOW ST,1079200
7-0-376,13 BOW ST,735100
7-0-3,14 BOW ST,1133600
7-0-375,15 BOW ST,810500
7-0-374,17 BOW ST,676000
7-0-4,18 BOW ST,788000
7-0-5,20 BOW ST,622800
7-0-6,22 BOW ST,670600
7-0-369,29 BOW ST,745000
7-0-368,35 BOW ST,787200
7-0-273B,40 BOW ST,698800
7-0-273A,42 BOW ST,618600
7-0-361,43 BOW ST,608200
7-0-277,44 BOW ST,651400
7-0-359,45 BOW ST,564400
7-0-278,46 BOW ST,601900
7-0-279,48 BOW ST,590100
7-0-358,49 BOW ST,658400
7-0-280,50 BOW ST,623000
7-0-357,51 BOW ST,780600
7-0-281,52 BOW ST,727600
7-0-282,54 BOW ST,630700
7-0-288,55 BOW ST,622700
7-0-283,56 BOW ST,548900
7-0-287,57 BOW ST,597400
7-0-2,6 BOW ST,759400
7-0-266,60 BOW ST,754100
7-0-264,63 BOW ST,689600
7-0-263,67 BOW ST,791900
9-0-48,1 BOXWOOD RD,857900
9-0-47,3 BOXWOOD RD,915700
7-0-174,1 BRACKETT AVE,695900
7-0-178,10 BRACKETT AVE,779800
7-0-171,11 BRACKETT AVE,796700
7-0-179,12 BRACKETT AVE,597400
7-0-170,13 BRACKETT AVE,731300
7-0-180,14 BRACKETT AVE,589200
7-0-168,15 BRACKETT AVE,703500
7-0-182,16 BRACKETT AVE,709900
7-0-167,19 BRACKETT AVE,792900
7-0-185,20 BRACKETT AVE,713400
7-0-82,29 BRACKETT AVE,1001300
7-0-173,3 BRACKETT AVE,651800
7-0-175,4 BRACKETT AVE,793600
7-0-176,6 BRACKETT AVE,857700
7-0-172,7 BRACKETT AVE,1037500
7-0-177,8 BRACKETT AVE,755400
2-0-332,2 BRAMANTE CIR,1038600
2-0-330,4 BRAMANTE CIR,996900
2-0-331,6 BRAMANTE CIR,1041600
22-0-69,3 BRENTWOOD RD,846900
22-0-28,4 BRENTWOOD RD,780000
22-0-68,5 BRENTWOOD RD,915800
22-0-29,8 BRENTWOOD RD,988800
11-0-45,12 BROADWAY,788700
11-0-290,13 BROADWAY,868000
11-0-46,14 BROADWAY,886500
11-0-289,15 BROADWAY,934600
11-0-47,18 BROADWAY,1137200
11-0-288,19 BROADWAY,990800
11-0-287,21 BROADWAY,869900
11-0-275,25 BROADWAY,842100
11-0-48,26 BROADWAY,1195600
6-0-77,279 BROADWAY,684500
11-0-49,28 BROADWAY,902900
6-0-64,280 BROADWAY,1273300
6-0-76,285 BROADWAY,794400
6-0-65,286 BROADWAY,1131300
6-0-68,297 BROADWAY,726300
11-0-51,30 BROADWAY,1043400
6-0-67,305 BROADWAY,794000
11-0-273,31 BROADWAY,811800
11-0-52,32 BROADWAY,1859800
11-0-272,33 BROADWAY,847600
11-0-53,34 BROADWAY,1082200
11-0-271,35 BROADWAY,888000
11-0-54,36 BROADWAY,849600
11-0-55,38 BROADWAY,784000
11-0-269,39 BROADWAY,1427600
11-0-170,40 BROADWAY,840500
11-0-171,42 BROADWAY,757400
11-0-172,44 BROADWAY,857800
11-0-238,45 BROADWAY,800300
11-0-174,46 BROADWAY,849200
11-0-175,48 BROADWAY,917800
11-0-294A,5 BROADWAY,677100
11-0-176,50 BROADWAY,774500
11-0-206,51 BROADWAY,1148800
11-0-177,52 BROADWAY,760700
6-0-192,53 BROADWAY,749900
6-0-196,54 BROADWAY,798400
6-0-197,56 BROADWAY,602500
6-0-198,58 BROADWAY,681300
6-0-199,60 BROADWAY,790000
11-0-293,7 BROADWAY,815100
11-0-44,8 BROADWAY,1425000
11-0-292,9 BROADWAY,969000
7-0-344,1 BROOKBRIDGE RD,735500
7-0-298,10 BROOKBRIDGE RD,668200
7-0-339,11 BROOKBRIDGE RD,1300800
7-0-299,12 BROOKBRIDGE RD,726700
7-0-300,14 BROOKBRIDGE RD,927000
7-0-338,15 BROOKBRIDGE RD,620900
7-0-302,16 BROOKBRIDGE RD,676000
7-0-337,17 BROOKBRIDGE RD,687500
7-0-304,18 BROOKBRIDGE RD,696500
7-0-293,2 BROOKBRIDGE RD,704400
7-0-306,20 BROOKBRIDGE RD,1168500
7-0-308,22 BROOKBRIDGE RD,661300
1-0-57,24 BROOKBRIDGE RD,1038200
1-0-282,25 BROOKBRIDGE RD,750700
1-0-58,26 BROOKBRIDGE RD,1011000
1-0-278,27 BROOKBRIDGE RD,782000
1-0-62,28 BROOKBRIDGE RD,750800
7-0-343,3 BROOKBRIDGE RD,682800
1-0-67,30 BROOKBRIDGE RD,693300
1-0-68,32 BROOKBRIDGE RD,694300
1-0-71,34 BROOKBRIDGE RD,807400
1-0-74,36 BROOKBRIDGE RD,1001700
1-0-79,38 BROOKBRIDGE RD,986600
1-0-276,39 BROOKBRIDGE RD,786700
1-0-275,41 BROOKBRIDGE RD,742900
1-0-274,43 BROOKBRIDGE RD,868300
1-0-273,45 BROOKBRIDGE RD,817600
1-0-96,46 BROOKBRIDGE RD,744700
1-0-272,47 BROOKBRIDGE RD,810300
1-0-97,48 BROOKBRIDGE RD,790000
1-0-271,49 BROOKBRIDGE RD,737000
7-0-342,5 BROOKBRIDGE RD,701400
1-0-98,50 BROOKBRIDGE RD,1186400
1-0-270,51 BROOKBRIDGE RD,876500
1-0-99,52 BROOKBRIDGE RD,923000
1-0-269,53 BROOKBRIDGE RD,838000
1-0-100,54 BROOKBRIDGE RD,914600
1-0-103,56 BROOKBRIDGE RD,874800
1-0-105,58 BROOKBRIDGE RD,872100
7-0-294,6 BROOKBRIDGE RD,726700
1-0-266,61 BROOKBRIDGE RD,868200
7-0-341,7 BROOKBRIDGE RD,727300
7-0-297,8 BROOKBRIDGE RD,813600
7-0-340,9 BROOKBRIDGE RD,907900
4-0-119,11 BROOK ST,421400
4-0-115,2 BROOK ST,694100
4-0-116,4 BROOK ST,764700
4-0-122,5 BROOK ST,675700
4-0-121,7 BROOK ST,1382900
17-0-389,11 BUTLER AVE,664200
17-0-388,15 BUTLER AVE,643600
17-0-387,17 BUTLER AVE,764200
17-0-386,21 BUTLER AVE,712100
17-0-345,22 BUTLER AVE,748800
17-0-385,25 BUTLER AVE,803900
17-0-384,29 BUTLER AVE,688900
17-0-346,30 BUTLER AVE,773400
17-0-383,35 BUTLER AVE,586800
17-0-347,38 BUTLER AVE,779400
17-0-382A,39 BUTLER AVE,1373300
17-0-382,41 BUTLER AVE,1347600
17-0-381,43 BUTLER AVE,732600
17-0-380,47 BUTLER AVE,782600
17-0-379,49 BUTLER AVE,608200
17-0-369,50 BUTLER AVE,608500
17-0-378,51 BUTLER AVE,692000
17-0-370,52 BUTLER AVE,802100
17-0-377,53 BUTLER AVE,730600
17-0-376,55 BUTLER AVE,661900
17-0-371,56 BUTLER AVE,713100
17-0-375,57 BUTLER AVE,663300
17-0-374,59 BUTLER AVE,608700
17-0-373,61 BUTLER AVE,884900
17-0-363,62 BUTLER AVE,1047100
17-0-372,65 BUTLER AVE,850700
19-0-193,10 BUTTONWOOD RD,1029400
19-0-194,12 BUTTONWOOD RD,661000
19-0-198,3 BUTTONWOOD RD,685200
19-0-197,5 BUTTONWOOD RD,586800
19-0-190,6 BUTTONWOOD RD,639900
19-0-196,7 BUTTONWOOD RD,844300
19-0-192,8 BUTTONWOOD RD,576900
19-0-195,9 BUTTONWOOD RD,763100
22-0-66,10 CABOT RD,1050000
22-0-32,11 CABOT RD,987500
22-0-67,14 CABOT RD,924200
22-0-31,15 CABOT RD,1040400
22-0-30,17 CABOT RD,1097700
22-0-62,2 CABOT RD,918200
22-0-55,21 CABOT RD,943800
22-0-63,4 CABOT RD,897900
22-0-64,6 CABOT RD,783700
22-0-65,8 CABOT RD,918800
22-0-33,9 CABOT RD,802400
14-0-86,1 CAMPBELL RD,654200
14-0-69,10 CAMPBELL RD,713900
14-0-81,11 CAMPBELL RD,769400
14-0-70,12 CAMPBELL RD,690300
14-0-71,14 CAMPBELL RD,710400
14-0-80,15 CAMPBELL RD,662500
14-0-72,16 CAMPBELL RD,628100
14-0-79,17 CAMPBELL RD,844900
14-0-73,18 CAMPBELL RD,646200
14-0-78,19 CAMPBELL RD,742400
14-0-65,2 CAMPBELL RD,762200
14-0-74,20 CAMPBELL RD,747400
14-0-77,21 CAMPBELL RD,761200
14-0-75,22 CAMPBELL RD,773800
14-0-76,23 CAMPBELL RD,685700
14-0-66,4 CAMPBELL RD,673700
14-0-85,5 CAMPBELL RD,937900
14-0-67,6 CAMPBELL RD,786400
14-0-84,7 CAMPBELL RD,721800
14-0-68,8 CAMPBELL RD,722000
14-0-82,9 CAMPBELL RD,638300
12-0-335,1 CAPEN ST,540300
12-0-334,3 CAPEN ST,683300
1-0-173,3 CARDINAL RD,741800
1-0-168,4 CARDINAL RD,766300
1-0-172,5 CARDINAL RD,885300
1-0-169,6 CARDINAL RD,750200
1-0-170,8 CARDINAL RD,870400
6-0-131,3 CARLIDA RD,851600
6-0-117,4 CARLIDA RD,833300
6-0-130,5 CARLIDA RD,698600
6-0-118,6 CARLIDA RD,820700
1-0-149,0 CARMEN AVE,1334700
2-0-16,2 CARMEN AVE,758800
2-0-20,3 CARMEN AVE,800400
2-0-17,4 CARMEN AVE,831800
2-0-18,6 CARMEN AVE,836200
2-0-19,9 CARMEN AVE,846600
19-0-124,10 CAROL ST,657300
19-0-139,15 CAROL ST,915000
19-0-141,17 CAROL ST,885600
19-0-136,3 CAROL ST,621400
19-0-110,30 CAROL ST,840000
19-0-108,31 CAROL ST,491800
19-0-137,5 CAROL ST,773000
19-0-133,6 CAROL ST,837100
19-0-138,7 CAROL ST,776600
18-0-112,1 CEDAR AVE,941500
18-0-78,11 CEDAR AVE,667100
18-0-88,16 CEDAR AVE,1175400
18-0-75,17 CEDAR AVE,629500
18-0-74,19 CEDAR AVE,640000
18-0-84,2 CEDAR AVE,679100
18-0-90,20 CEDAR AVE,995600
18-0-73,21 CEDAR AVE,731200
18-0-90A,22 CEDAR AVE,976000
18-0-72,23 CEDAR AVE,738300
18-0-71,25 CEDAR AVE,570900
18-0-70,27 CEDAR AVE,567000
18-0-83,3 CEDAR AVE,845200
18-0-91,30 CEDAR AVE,572200
18-0-68,31 CEDAR AVE,774700
18-0-98,32 CEDAR AVE,821400
18-0-67,33 CEDAR AVE,983400
18-0-85,4 CEDAR AVE,703500
18-0-82,5 CEDAR AVE,609800
18-0-81,7 CEDAR AVE,781900
18-0-86,8 CEDAR AVE,713600
1-0-239,1 CEDAR WAY,710800
1-0-222,10 CEDAR WAY,668900
1-0-223,12 CEDAR WAY,662000
1-0-224,14 CEDAR WAY,607300
1-0-234,15 CEDAR WAY,513000
1-0-218,2 CEDAR WAY,477200
1-0-225,24 CEDAR WAY,701900
1-0-232,25 CEDAR WAY,627400
1-0-226,28 CEDAR WAY,658900
1-0-231,29 CEDAR WAY,587700
1-0-227,30 CEDAR WAY,767200
1-0-230,31 CEDAR WAY,667800
1-0-228,32 CEDAR WAY,1008300
1-0-229,33 CEDAR WAY,810400
1-0-219,6 CEDAR WAY,769500
1-0-238,7 CEDAR WAY,753300
1-0-220,8 CEDAR WAY,680200
1-0-236,9 CEDAR WAY,786600
11-0-12,10 CELESTINE TRL,651100
11-0-14,11 CELESTINE TRL,841200
11-0-13,12 CELESTINE TRL,703200
11-0-18,3 CELESTINE TRL,581800
11-0-9,4 CELESTINE TRL,614700
11-0-17,5 CELESTINE TRL,564400
11-0-10,6 CELESTINE TRL,612700
11-0-16,7 CELESTINE TRL,773600
11-0-11,8 CELESTINE TRL,597800
11-0-15,9 CELESTINE TRL,697600
17-0-160,118 CENTRAL ST,660100
12-0-13,127 CENTRAL ST,723500
12-0-12,131 CENTRAL ST,509300
12-0-10,133 CENTRAL ST,669400
12-0-9,141 CENTRAL ST,516000
12-0-8,145 CENTRAL ST,586700
12-0-7,149 CENTRAL ST,529700
17-0-163,152 CENTRAL ST,560600
12-0-6,153 CENTRAL ST,495300
17-0-164,154 CENTRAL ST,493700
12-0-5,159 CENTRAL ST,682100
12-0-3,181 CENTRAL ST,734300
12-0-3A,185 CENTRAL ST,856000
12-0-1,203 CENTRAL ST,695700
11-0-359,207 CENTRAL ST,529000
11-0-358,211 CENTRAL ST,578500
11-0-352,221 CENTRAL ST,671400
11-0-351,223 CENTRAL ST,629700
11-0-350,225 CENTRAL ST,675700
11-0-349,229 CENTRAL ST,597300
11-0-348,245 CENTRAL ST,743200
11-0-347,249 CENTRAL ST,881800
12-0-423,68 CENTRAL ST,580300
12-0-424,70 CENTRAL ST,671700
12-0-425,72 CENTRAL ST,692700
12-0-426,80 CENTRAL ST,561200
12-0-428,82 CENTRAL ST,560500
12-0-430,86 CENTRAL ST,526800
8-0-212,10 CHAPEL WAY,918700
8-0-87E,3 CHAPEL WAY,1035300
8-0-209,4 CHAPEL WAY,776600
8-0-87F1,5 CHAPEL WAY,1014800
8-0-210,6 CHAPEL WAY,781100
8-0-87G,7 CHAPEL WAY,1017500
8-0-211,8 CHAPEL WAY,766500
12-0-206,1 CHARLES ST,806700
12-0-195,10 CHARLES ST,546200
12-0-190A,11 CHARLES ST,867800
12-0-196,12 CHARLES ST,652500
12-0-189,13 CHARLES ST,847900
12-0-188,15 CHARLES ST,723700
12-0-192,6 CHARLES ST,647200
12-0-191,7 CHARLES ST,707500
12-0-193,8 CHARLES ST,717700
11-0-186,2 CHASE RD,600500
6-0-169,3 CHASE RD,622700
6-0-170,4 CHASE RD,712200
6-0-168,5 CHASE RD,688400
6-0-171,6 CHASE RD,861700
6-0-167,7 CHASE RD,807800
6-0-172,8 CHASE RD,850400
2-0-21,10 CHERRY AVE,821300
2-0-23,14 CHERRY AVE,698900
2-0-13,15 CHERRY AVE,644300
2-0-24,16 CHERRY AVE,652900
2-0-12,17 CHERRY AVE,674000
2-0-25,18 CHERRY AVE,846100
2-0-11,19 CHERRY AVE,653400
1-0-138,2 CHERRY AVE,719700
2-0-26,20 CHERRY AVE,692800
2-0-10,21 CHERRY AVE,620300
2-0-27,22 CHERRY AVE,671800
2-0-28,24 CHERRY AVE,616000
1-0-145,3 CHERRY AVE,771600
1-0-141,4 CHERRY AVE,925200
1-0-144,5 CHERRY AVE,726100
1-0-142,6 CHERRY AVE,839800
2-0-15,7 CHERRY AVE,794800
1-0-143,8 CHERRY AVE,709400
2-0-14,9 CHERRY AVE,878200
17-0-233,11 CHESTNUT ST,831700
18-0-115,14 CHESTNUT ST,742100
18-0-114,15 CHESTNUT ST,697500
18-0-113,17 CHESTNUT ST,640500
18-0-117,18 CHESTNUT ST,770600
18-0-141,26 CHESTNUT ST,940900
18-0-111,27 CHESTNUT ST,554800
18-0-142,28 CHESTNUT ST,795600
18-0-110,29 CHESTNUT ST,573200
17-0-236,3 CHESTNUT ST,626000
18-0-109,31 CHESTNUT ST,687300
18-0-144,34 CHESTNUT ST,946800
18-0-107,37 CHESTNUT ST,839800
18-0-514,40 CHESTNUT ST,687900
18-0-559,41 CHESTNUT ST,742700
18-0-515,42 CHESTNUT ST,649500
17-0-235,7 CHESTNUT ST,579800
